,Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,game_id
1,Celeste Taylor,25,2,5,.400,2,5,.400,0,0,,0,2,.000,0,2,2,5,2,0,3,2,4,ohio-state,2023-11-16-19-ohio-state
2,Jacy Sheldon,21,7,10,.700,5,7,.714,2,3,.667,0,0,,1,2,3,2,1,0,4,3,16,ohio-state,2023-11-16-19-ohio-state
3,Taylor Thierry,20,7,9,.778,6,8,.750,1,1,1.000,3,3,1.000,2,6,8,3,2,1,0,2,18,ohio-state,2023-11-16-19-ohio-state
4,Rebeka Mikulasikova,16,1,2,.500,1,2,.500,0,0,,0,0,,0,0,0,2,0,1,1,1,2,ohio-state,2023-11-16-19-ohio-state
6,Rikki Harris,22,2,3,.667,2,2,1.000,0,1,.000,0,0,,1,1,2,2,1,0,3,2,4,ohio-state,2023-11-16-19-ohio-state
7,Taiyier Parks,20,4,7,.571,4,7,.571,0,0,,0,0,,2,2,4,0,2,0,0,1,8,ohio-state,2023-11-16-19-ohio-state
8,Diana Collins,17,1,3,.333,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,5,2,ohio-state,2023-11-16-19-ohio-state
9,Emma Shumate,14,3,5,.600,0,0,,3,5,.600,1,2,.500,0,0,0,0,0,2,2,1,10,ohio-state,2023-11-16-19-ohio-state
10,Kaia Henderson,10,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,ohio-state,2023-11-16-19-ohio-state
11,Eboni Walker,9,0,2,.000,0,2,.000,0,0,,0,0,,1,2,3,1,0,0,2,0,0,ohio-state,2023-11-16-19-ohio-state
12,Karla Vres,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,ohio-state,2023-11-16-19-ohio-state
13,Faith Carson,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,ohio-state,2023-11-16-19-ohio-state
0,Jacy Sheldon,34,7,10,.700,3,5,.600,4,5,.800,2,2,1.000,2,3,5,2,0,0,5,2,20,ohio-state,2023-11-20-13-east-carolina
1,Rebeka Mikulasikova,34,3,9,.333,1,5,.200,2,4,.500,4,4,1.000,0,1,1,3,2,0,3,3,12,ohio-state,2023-11-20-13-east-carolina
2,Celeste Taylor,31,2,7,.286,1,4,.250,1,3,.333,0,0,,2,2,4,3,3,0,4,4,5,ohio-state,2023-11-20-13-east-carolina
3,Cotie McMahon,27,4,8,.500,4,7,.571,0,1,.000,3,5,.600,0,7,7,1,0,0,4,4,11,ohio-state,2023-11-20-13-east-carolina
4,Taylor Thierry,26,5,6,.833,5,6,.833,0,0,,4,5,.800,2,6,8,4,2,1,3,4,14,ohio-state,2023-11-20-13-east-carolina
6,Rikki Harris,23,3,3,1.000,0,0,,3,3,1.000,2,3,.667,0,1,1,1,1,0,3,3,11,ohio-state,2023-11-20-13-east-carolina
7,Diana Collins,10,0,3,.000,0,1,.000,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,2,2,ohio-state,2023-11-20-13-east-carolina
8,Taiyier Parks,6,2,2,1.000,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,4,ohio-state,2023-11-20-13-east-carolina
9,Emma Shumate,5,0,1,.000,0,0,,0,1,.000,0,0,,2,1,3,0,0,0,1,1,0,ohio-state,2023-11-20-13-east-carolina
10,Eboni Walker,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,ohio-state,2023-11-20-13-east-carolina
11,Kaia Henderson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,ohio-state,2023-11-20-13-east-carolina
0,Synia Johnson,39,7,12,.583,7,11,.636,0,1,.000,0,0,,2,5,7,0,0,0,3,1,14,east-carolina,2023-11-20-13-east-carolina
1,Micah Dennis,34,1,10,.100,0,8,.000,1,2,.500,5,6,.833,0,3,3,4,1,0,4,4,8,east-carolina,2023-11-20-13-east-carolina
2,Danae McNeal,33,4,14,.286,3,10,.300,1,4,.250,2,4,.500,1,0,1,1,3,0,5,0,11,east-carolina,2023-11-20-13-east-carolina
3,Amiya Joyner,25,5,11,.455,5,10,.500,0,1,.000,2,4,.500,3,6,9,0,0,0,4,4,12,east-carolina,2023-11-20-13-east-carolina
4,Tatyana Wyche,15,0,2,.000,0,2,.000,0,0,,1,2,.500,4,1,5,1,0,0,1,3,1,east-carolina,2023-11-20-13-east-carolina
6,Morgan Moseley,19,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,2,0,0,1,3,3,east-carolina,2023-11-20-13-east-carolina
7,Taliyah Wyche,12,0,1,.000,0,0,,0,1,.000,0,2,.000,0,1,1,0,0,0,0,3,0,east-carolina,2023-11-20-13-east-carolina
8,Khia Miller,11,0,3,.000,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,east-carolina,2023-11-20-13-east-carolina
9,Karina Gordon,7,0,0,,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,0,0,2,east-carolina,2023-11-20-13-east-carolina
10,Jade Tillman,5,2,2,1.000,2,2,1.000,0,0,,0,0,,3,0,3,0,0,0,0,3,4,east-carolina,2023-11-20-13-east-carolina
11,Kimora Jenkins,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0,east-carolina,2023-11-20-13-east-carolina
12,Bobbi Smith,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,east-carolina,2023-11-20-13-east-carolina
0,Quincy Noble,40,5,14,.357,3,8,.375,2,6,.333,0,0,,1,4,5,1,0,1,2,2,12,oklahoma-state,2023-11-22-18-ohio-state
1,Stailee Heard,33,6,9,.667,6,7,.857,0,2,.000,3,4,.750,5,2,7,0,1,0,2,4,15,oklahoma-state,2023-11-22-18-ohio-state
2,Anna Gret Asi,25,2,11,.182,1,4,.250,1,7,.143,1,2,.500,0,1,1,1,0,0,3,4,6,oklahoma-state,2023-11-22-18-ohio-state
3,Lior Garzon,25,1,6,.167,1,1,1.000,0,5,.000,0,0,,1,1,2,0,0,0,1,0,2,oklahoma-state,2023-11-22-18-ohio-state
4,Praise Egharevba,12,0,1,.000,0,1,.000,0,0,,1,2,.500,1,3,4,0,0,0,0,5,1,oklahoma-state,2023-11-22-18-ohio-state
6,Kennedy Fauntleroy,26,2,11,.182,2,9,.222,0,2,.000,3,4,.750,0,6,6,1,3,0,3,1,7,oklahoma-state,2023-11-22-18-ohio-state
7,Rylee Langerman,21,1,4,.250,1,3,.333,0,1,.000,2,2,1.000,1,2,3,1,1,0,0,4,4,oklahoma-state,2023-11-22-18-ohio-state
8,Chandler Prater,19,5,10,.500,5,9,.556,0,1,.000,0,0,,5,6,11,1,1,0,4,1,10,oklahoma-state,2023-11-22-18-ohio-state
0,Jacy Sheldon,40,8,18,.444,6,9,.667,2,9,.222,4,4,1.000,1,5,6,5,4,0,3,1,22,ohio-state,2023-11-22-18-ohio-state
1,Taylor Thierry,36,6,13,.462,6,13,.462,0,0,,4,7,.571,9,5,14,1,1,0,3,2,16,ohio-state,2023-11-22-18-ohio-state
2,Cotie McMahon,30,6,10,.600,5,7,.714,1,3,.333,1,3,.333,1,5,6,4,0,0,4,3,14,ohio-state,2023-11-22-18-ohio-state
3,Rebeka Mikulasikova,24,2,7,.286,2,5,.400,0,2,.000,2,2,1.000,0,3,3,0,0,0,1,0,6,ohio-state,2023-11-22-18-ohio-state
4,Celeste Taylor,24,2,7,.286,2,4,.500,0,3,.000,1,3,.333,2,3,5,2,0,0,1,4,5,ohio-state,2023-11-22-18-ohio-state
6,Rikki Harris,20,0,3,.000,0,0,,0,3,.000,0,0,,0,2,2,1,1,2,1,2,0,ohio-state,2023-11-22-18-ohio-state
7,Emma Shumate,13,3,7,.429,1,1,1.000,2,6,.333,0,0,,1,4,5,0,0,0,0,2,8,ohio-state,2023-11-22-18-ohio-state
8,Taiyier Parks,8,1,1,1.000,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,ohio-state,2023-11-22-18-ohio-state
9,Diana Collins,6,1,2,.500,1,1,1.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2,ohio-state,2023-11-22-18-ohio-state
10,Kaia Henderson,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,ohio-state,2023-11-22-18-ohio-state
0,Summer Parker-Hall,32,6,11,.545,5,9,.556,1,2,.500,0,0,,0,4,4,1,0,1,1,3,13,cornell,2023-11-26-13-ohio-state
1,Kaya Ingram,26,2,7,.286,2,6,.333,0,1,.000,0,0,,0,2,2,4,0,0,6,3,4,cornell,2023-11-26-13-ohio-state
2,Azareya Kilgoe,24,1,4,.250,1,2,.500,0,2,.000,1,2,.500,0,2,2,4,0,0,5,0,3,cornell,2023-11-26-13-ohio-state
3,Mia Beam,22,1,1,1.000,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,4,2,2,cornell,2023-11-26-13-ohio-state
4,Emily Pape,21,3,12,.250,3,9,.333,0,3,.000,0,0,,0,7,7,1,0,0,1,3,6,cornell,2023-11-26-13-ohio-state
6,Clarke Jackson,24,2,6,.333,2,6,.333,0,0,,0,0,,0,2,2,0,1,0,3,1,4,cornell,2023-11-26-13-ohio-state
7,Rachel Kaus,20,3,7,.429,3,7,.429,0,0,,0,0,,3,1,4,0,1,1,0,1,6,cornell,2023-11-26-13-ohio-state
8,Vivienne Knee,16,0,2,.000,0,1,.000,0,1,.000,0,0,,4,3,7,0,0,0,2,1,0,cornell,2023-11-26-13-ohio-state
9,Jada Davis,4,1,2,.500,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,cornell,2023-11-26-13-ohio-state
10,Val Garcia-Martinez,4,0,2,.000,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,1,0,0,cornell,2023-11-26-13-ohio-state
11,Sarah Hathorn,3,0,2,.000,0,0,,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,cornell,2023-11-26-13-ohio-state
12,Maya Watts,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,cornell,2023-11-26-13-ohio-state
0,Celeste Taylor,21,1,4,.250,1,2,.500,0,2,.000,0,0,,0,4,4,7,1,1,1,0,2,ohio-state,2023-11-26-13-ohio-state
1,Taylor Thierry,21,5,9,.556,5,9,.556,0,0,,3,4,.750,3,3,6,4,2,1,0,1,13,ohio-state,2023-11-26-13-ohio-state
2,Cotie McMahon,19,4,6,.667,3,4,.750,1,2,.500,5,6,.833,0,2,2,4,2,0,1,0,14,ohio-state,2023-11-26-13-ohio-state
3,Jacy Sheldon,18,4,7,.571,2,4,.500,2,3,.667,0,0,,0,0,0,3,4,0,1,2,10,ohio-state,2023-11-26-13-ohio-state
4,Rebeka Mikulasikova,17,7,9,.778,7,8,.875,0,1,.000,0,0,,0,0,0,0,1,0,0,0,14,ohio-state,2023-11-26-13-ohio-state
6,Diana Collins,21,3,12,.250,3,9,.333,0,3,.000,2,2,1.000,2,3,5,0,2,1,2,1,8,ohio-state,2023-11-26-13-ohio-state
7,Taiyier Parks,19,3,9,.333,3,9,.333,0,0,,0,2,.000,3,5,8,2,1,1,0,2,6,ohio-state,2023-11-26-13-ohio-state
8,Emma Shumate,17,3,5,.600,0,0,,3,5,.600,0,2,.000,0,1,1,0,1,0,1,1,9,ohio-state,2023-11-26-13-ohio-state
9,Rikki Harris,16,1,4,.250,0,1,.000,1,3,.333,0,0,,0,1,1,0,0,0,0,2,3,ohio-state,2023-11-26-13-ohio-state
10,Kaia Henderson,16,0,2,.000,0,2,.000,0,0,,0,0,,1,1,2,1,0,0,1,2,0,ohio-state,2023-11-26-13-ohio-state
11,Eboni Walker,11,1,1,1.000,1,1,1.000,0,0,,2,2,1.000,1,4,5,3,0,0,0,0,4,ohio-state,2023-11-26-13-ohio-state
12,Karla Vres,4,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,ohio-state,2023-11-26-13-ohio-state
13,Faith Carson,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,ohio-state,2023-11-26-13-ohio-state
0,Jacy Sheldon,38,6,15,.400,5,10,.500,1,5,.200,0,2,.000,3,4,7,6,4,1,3,1,13,ohio-state,2023-12-03-17-tennessee
1,Celeste Taylor,35,6,12,.500,5,8,.625,1,4,.250,2,4,.500,6,6,12,3,2,1,3,2,15,ohio-state,2023-12-03-17-tennessee
2,Taylor Thierry,35,4,10,.400,4,9,.444,0,1,.000,1,1,1.000,1,3,4,1,3,0,0,3,9,ohio-state,2023-12-03-17-tennessee
3,Cotie McMahon,29,6,16,.375,5,13,.385,1,3,.333,6,6,1.000,2,5,7,3,2,0,3,5,19,ohio-state,2023-12-03-17-tennessee
4,Rebeka Mikulasikova,20,7,10,.700,4,5,.800,3,5,.600,1,2,.500,0,4,4,2,0,0,1,4,18,ohio-state,2023-12-03-17-tennessee
6,Rikki Harris,18,0,2,.000,0,1,.000,0,1,.000,0,2,.000,0,1,1,1,0,0,0,3,0,ohio-state,2023-12-03-17-tennessee
7,Taiyier Parks,13,1,4,.250,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,1,0,2,2,ohio-state,2023-12-03-17-tennessee
8,Eboni Walker,8,0,2,.000,0,1,.000,0,1,.000,2,2,1.000,1,1,2,0,0,1,1,1,2,ohio-state,2023-12-03-17-tennessee
9,Kaia Henderson,2,0,2,.000,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,ohio-state,2023-12-03-17-tennessee
10,Emma Shumate,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,ohio-state,2023-12-03-17-tennessee
11,Diana Collins,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,ohio-state,2023-12-03-17-tennessee
12,Karla Vres,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,ohio-state,2023-12-03-17-tennessee
0,Tess Darby,29,2,11,.182,0,2,.000,2,9,.222,0,0,,1,2,3,1,2,0,1,4,6,tennessee,2023-12-03-17-tennessee
1,Jillian Hollingshead,26,2,3,.667,2,2,1.000,0,1,.000,1,2,.500,0,7,7,3,1,0,2,0,5,tennessee,2023-12-03-17-tennessee
2,Sara Puckett,23,5,8,.625,5,6,.833,0,2,.000,0,0,,2,4,6,0,0,0,3,3,10,tennessee,2023-12-03-17-tennessee
3,Jewel Spear,20,0,9,.000,0,1,.000,0,8,.000,0,0,,1,0,1,2,0,0,1,1,0,tennessee,2023-12-03-17-tennessee
4,Jasmine Powell,17,1,4,.250,1,3,.333,0,1,.000,0,0,,0,1,1,1,1,0,2,3,2,tennessee,2023-12-03-17-tennessee
6,Destinee Wells,27,4,9,.444,3,7,.429,1,2,.500,2,2,1.000,0,3,3,3,1,0,3,1,11,tennessee,2023-12-03-17-tennessee
7,Kaiya Wynn,16,1,2,.500,1,2,.500,0,0,,4,6,.667,1,3,4,1,1,0,1,1,6,tennessee,2023-12-03-17-tennessee
8,Tamari Key,16,3,4,.750,3,4,.750,0,0,,3,6,.500,1,3,4,1,1,2,1,2,9,tennessee,2023-12-03-17-tennessee
9,Avery Strickland,12,1,4,.250,0,1,.000,1,3,.333,1,2,.500,0,2,2,0,0,0,1,0,4,tennessee,2023-12-03-17-tennessee
10,Karoline Striplin,12,1,3,.333,0,2,.000,1,1,1.000,2,2,1.000,0,1,1,0,0,3,3,1,5,tennessee,2023-12-03-17-tennessee
11,Edie Darby,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,tennessee,2023-12-03-17-tennessee
0,Jaya McClure,30,3,9,.333,2,6,.333,1,3,.333,2,2,1.000,0,2,2,3,0,0,3,3,9,ohio,2023-12-05-19-ohio-state
1,Monica Williams,22,2,7,.286,1,5,.200,1,2,.500,0,0,,0,2,2,1,1,0,1,4,5,ohio,2023-12-05-19-ohio-state
2,Kennedi Watkins,16,2,7,.286,1,5,.200,1,2,.500,0,0,,0,1,1,0,1,1,0,2,5,ohio,2023-12-05-19-ohio-state
3,Bengisu Alper,12,0,2,.000,0,1,.000,0,1,.000,0,0,,1,5,6,1,0,0,2,4,0,ohio,2023-12-05-19-ohio-state
4,Kate Dennis,11,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,ohio,2023-12-05-19-ohio-state
6,Laylay Fantroy,21,2,4,.500,2,3,.667,0,1,.000,0,0,,1,3,4,0,1,0,3,1,4,ohio,2023-12-05-19-ohio-state
7,Bailey Tabeling,19,2,2,1.000,0,0,,2,2,1.000,0,0,,0,2,2,1,1,0,3,0,6,ohio,2023-12-05-19-ohio-state
8,Madi Mace,18,1,4,.250,1,3,.333,0,1,.000,0,0,,0,4,4,0,1,0,8,4,2,ohio,2023-12-05-19-ohio-state
9,Cassidy Lafler,16,0,6,.000,0,3,.000,0,3,.000,0,0,,0,2,2,0,1,0,3,1,0,ohio,2023-12-05-19-ohio-state
10,Kailah Johnson,10,1,2,.500,1,2,.500,0,0,,2,2,1.000,0,1,1,0,1,0,0,1,4,ohio,2023-12-05-19-ohio-state
11,Asiah Baxter,10,0,2,.000,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,ohio,2023-12-05-19-ohio-state
12,Peyton Guice,8,0,2,.000,0,1,.000,0,1,.000,2,2,1.000,0,0,0,2,0,0,1,1,2,ohio,2023-12-05-19-ohio-state
13,Emma Barnett,7,2,5,.400,1,1,1.000,1,4,.250,0,0,,0,0,0,0,0,0,0,1,5,ohio,2023-12-05-19-ohio-state
0,Celeste Taylor,27,1,9,.111,0,6,.000,1,3,.333,2,2,1.000,1,3,4,7,5,2,6,3,5,ohio-state,2023-12-05-19-ohio-state
1,Taylor Thierry,23,5,9,.556,5,7,.714,0,2,.000,5,6,.833,3,1,4,1,5,0,0,1,15,ohio-state,2023-12-05-19-ohio-state
2,Jacy Sheldon,20,1,4,.250,1,2,.500,0,2,.000,0,0,,0,1,1,2,1,0,5,1,2,ohio-state,2023-12-05-19-ohio-state
3,Cotie McMahon,18,6,9,.667,5,5,1.000,1,4,.250,1,3,.333,1,6,7,1,1,0,2,2,14,ohio-state,2023-12-05-19-ohio-state
4,Rebeka Mikulasikova,17,4,7,.571,2,4,.500,2,3,.667,3,3,1.000,1,6,7,3,2,0,0,0,13,ohio-state,2023-12-05-19-ohio-state
6,Emma Shumate,22,7,12,.583,1,2,.500,6,10,.600,2,2,1.000,2,1,3,2,0,0,0,1,22,ohio-state,2023-12-05-19-ohio-state
7,Taiyier Parks,19,1,2,.500,1,2,.500,0,0,,1,2,.500,1,6,7,0,0,1,1,0,3,ohio-state,2023-12-05-19-ohio-state
8,Rikki Harris,18,0,3,.000,0,0,,0,3,.000,0,0,,0,3,3,2,0,0,0,2,0,ohio-state,2023-12-05-19-ohio-state
