,Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,game_id
11,Crystal Wang,4,0,0,,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,northwestern,2023-12-10-13-maryland
12,Rachel Mutombo,1,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,northwestern,2023-12-10-13-maryland
0,Shyanne Sellers,38,6,16,0.375,5,13,0.385,1,3,0.333,0,0,,3,5,8,10,5,2,3,1,13,maryland,2023-12-10-13-maryland
1,Allie Kubek,31,7,13,0.538,6,12,0.5,1,1,1.0,2,4,0.5,3,1,4,0,0,0,0,1,17,maryland,2023-12-10-13-maryland
2,Jakia Brown-Turner,30,4,12,0.333,4,11,0.364,0,1,0.0,5,6,0.833,5,2,7,1,1,1,2,1,13,maryland,2023-12-10-13-maryland
3,Brinae Alexander,17,3,8,0.375,2,3,0.667,1,5,0.2,0,0,,0,1,1,0,0,0,0,2,7,maryland,2023-12-10-13-maryland
4,Bri McDaniel,16,4,8,0.5,4,7,0.571,0,1,0.0,0,0,,1,4,5,1,1,0,1,2,8,maryland,2023-12-10-13-maryland
6,Faith Masonius,27,0,4,0.0,0,4,0.0,0,0,,9,10,0.9,3,3,6,2,2,0,4,2,9,maryland,2023-12-10-13-maryland
7,Emily Fisher,27,1,1,1.0,1,1,1.0,0,0,,0,2,0.0,1,6,7,3,1,0,0,1,2,maryland,2023-12-10-13-maryland
8,Riley Nelson,10,1,1,1.0,1,1,1.0,0,0,,0,1,0.0,0,0,0,1,0,0,0,0,2,maryland,2023-12-10-13-maryland
9,Hawa Doumbouya,3,0,3,0.0,0,3,0.0,0,0,,0,0,,0,1,1,0,0,0,1,0,0,maryland,2023-12-10-13-maryland
10,Summer Bostock,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,maryland,2023-12-10-13-maryland
0,Kylie Kornegay-Lucas,32,1,11,0.091,1,9,0.111,0,2,0.0,3,4,0.75,0,10,10,2,1,0,1,3,5,towson,2023-12-12-11-maryland
1,Patricia Anumgba,29,5,13,0.385,3,7,0.429,2,6,0.333,3,3,1.0,0,1,1,0,1,0,1,2,15,towson,2023-12-12-11-maryland
2,Alexia Nelson,25,2,6,0.333,1,4,0.25,1,2,0.5,0,0,,1,3,4,3,2,0,2,3,5,towson,2023-12-12-11-maryland
3,Quinzia Fulmore,21,4,7,0.571,4,7,0.571,0,0,,1,1,1.0,0,0,0,0,0,0,2,3,9,towson,2023-12-12-11-maryland
4,Alina Sendar,5,0,1,0.0,0,0,,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,0,towson,2023-12-12-11-maryland
6,India Johnston,17,0,3,0.0,0,1,0.0,0,2,0.0,3,3,1.0,0,0,0,0,0,0,0,1,3,towson,2023-12-12-11-maryland
7,Anaiah Jenkins,15,1,2,0.5,1,1,1.0,0,1,0.0,2,2,1.0,1,1,2,1,0,0,1,4,4,towson,2023-12-12-11-maryland
8,Aminata Diakite,13,0,4,0.0,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,1,0,0,towson,2023-12-12-11-maryland
9,Anasia Staton,11,2,7,0.286,2,6,0.333,0,1,0.0,0,0,,3,1,4,1,0,0,1,0,4,towson,2023-12-12-11-maryland
10,Mariah Wilson,11,2,6,0.333,0,1,0.0,2,5,0.4,0,0,,0,0,0,1,0,0,1,1,6,towson,2023-12-12-11-maryland
11,Gabby Scott,10,0,2,0.0,0,0,,0,2,0.0,0,0,,0,0,0,0,0,0,1,2,0,towson,2023-12-12-11-maryland
12,Semaya Turner,7,0,2,0.0,0,1,0.0,0,1,0.0,0,0,,1,1,2,0,0,0,1,1,0,towson,2023-12-12-11-maryland
13,Caydence Hadley,3,0,2,0.0,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,towson,2023-12-12-11-maryland
0,Bri McDaniel,30,8,11,0.727,7,9,0.778,1,2,0.5,2,2,1.0,1,6,7,6,1,1,1,1,19,maryland,2023-12-12-11-maryland
1,Allie Kubek,27,7,9,0.778,6,7,0.857,1,2,0.5,2,3,0.667,2,2,4,1,0,1,1,2,17,maryland,2023-12-12-11-maryland
2,Brinae Alexander,25,4,9,0.444,1,3,0.333,3,6,0.5,0,0,,0,7,7,2,2,0,3,0,11,maryland,2023-12-12-11-maryland
3,Shyanne Sellers,21,2,4,0.5,1,2,0.5,1,2,0.5,3,3,1.0,0,5,5,4,1,0,2,2,8,maryland,2023-12-12-11-maryland
4,Jakia Brown-Turner,19,3,9,0.333,3,9,0.333,0,0,,1,3,0.333,1,3,4,1,0,0,2,1,7,maryland,2023-12-12-11-maryland
6,Emily Fisher,26,3,5,0.6,3,4,0.75,0,1,0.0,3,3,1.0,2,6,8,1,1,1,1,2,9,maryland,2023-12-12-11-maryland
7,Faith Masonius,21,4,6,0.667,4,6,0.667,0,0,,0,0,,0,3,3,4,0,1,3,2,8,maryland,2023-12-12-11-maryland
8,Riley Nelson,14,4,8,0.5,4,5,0.8,0,3,0.0,2,2,1.0,0,1,1,1,0,1,0,0,10,maryland,2023-12-12-11-maryland
9,Hawa Doumbouya,9,3,3,1.0,3,3,1.0,0,0,,2,2,1.0,3,2,5,3,1,1,1,2,8,maryland,2023-12-12-11-maryland
10,Mary Sareen,4,0,1,0.0,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,maryland,2023-12-12-11-maryland
11,Zen Nuako,3,0,1,0.0,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,0,0,0,maryland,2023-12-12-11-maryland
12,Summer Bostock,2,0,0,,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,2,maryland,2023-12-12-11-maryland
0,Jamia Hazell,28,2,8,0.25,2,6,0.333,0,2,0.0,0,0,,0,5,5,3,0,0,3,1,4,james-madison,2023-12-20-14-maryland
1,Peyton McDaniel,27,10,24,0.417,5,9,0.556,5,15,0.333,0,0,,2,6,8,0,3,0,0,0,25,james-madison,2023-12-20-14-maryland
2,Steph Ouderkirk,21,0,5,0.0,0,0,,0,5,0.0,0,2,0.0,4,2,6,4,1,0,2,1,0,james-madison,2023-12-20-14-maryland
3,Kseniia Kozlova,20,3,5,0.6,3,5,0.6,0,0,,0,0,,2,4,6,2,1,1,4,3,6,james-madison,2023-12-20-14-maryland
4,Olivia Mullins,19,2,6,0.333,0,2,0.0,2,4,0.5,0,0,,0,1,1,2,0,0,4,2,6,james-madison,2023-12-20-14-maryland
6,Hevynne Bristow,22,0,9,0.0,0,8,0.0,0,1,0.0,1,2,0.5,1,3,4,1,3,1,2,1,1,james-madison,2023-12-20-14-maryland
7,Chloe Sterling,15,1,2,0.5,0,1,0.0,1,1,1.0,0,0,,0,0,0,1,0,0,1,1,3,james-madison,2023-12-20-14-maryland
8,Ashanti Barnes-Williams,14,0,4,0.0,0,4,0.0,0,0,,0,0,,1,4,5,0,0,0,2,3,0,james-madison,2023-12-20-14-maryland
9,Carole Miller,13,1,4,0.25,1,1,1.0,0,3,0.0,4,4,1.0,1,1,2,0,0,0,1,2,6,james-madison,2023-12-20-14-maryland
10,Annalicia Goodman,11,1,2,0.5,1,2,0.5,0,0,,1,2,0.5,1,3,4,0,0,0,1,3,3,james-madison,2023-12-20-14-maryland
11,Mikaya Tynes,10,0,5,0.0,0,5,0.0,0,0,,1,2,0.5,4,0,4,0,0,1,1,4,1,james-madison,2023-12-20-14-maryland
12,Jada Mills,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,james-madison,2023-12-20-14-maryland
0,Shyanne Sellers,34,9,19,0.474,6,13,0.462,3,6,0.5,8,9,0.889,0,8,8,6,1,2,1,3,29,maryland,2023-12-20-14-maryland
1,Bri McDaniel,31,6,11,0.545,5,9,0.556,1,2,0.5,2,2,1.0,1,8,9,3,3,1,3,2,15,maryland,2023-12-20-14-maryland
2,Faith Masonius,29,4,8,0.5,4,8,0.5,0,0,,0,0,,0,4,4,2,2,0,3,4,8,maryland,2023-12-20-14-maryland
3,Allie Kubek,23,2,9,0.222,2,7,0.286,0,2,0.0,4,5,0.8,1,4,5,0,0,1,2,2,8,maryland,2023-12-20-14-maryland
4,Brinae Alexander,22,1,7,0.143,0,4,0.0,1,3,0.333,0,0,,0,3,3,1,0,0,1,4,3,maryland,2023-12-20-14-maryland
6,Emily Fisher,30,2,4,0.5,2,4,0.5,0,0,,2,4,0.5,1,3,4,2,2,1,0,2,6,maryland,2023-12-20-14-maryland
7,Riley Nelson,17,1,3,0.333,1,3,0.333,0,0,,1,2,0.5,1,3,4,0,0,0,3,1,3,maryland,2023-12-20-14-maryland
8,Summer Bostock,11,2,5,0.4,2,5,0.4,0,0,,2,2,1.0,1,1,2,0,0,0,0,0,6,maryland,2023-12-20-14-maryland
9,Zen Nuako,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,maryland,2023-12-20-14-maryland
10,Mary Sareen,2,0,1,0.0,0,0,,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,maryland,2023-12-20-14-maryland
0,Shyanne Sellers,37,5,8,0.625,4,5,0.8,1,3,0.333,4,6,0.667,0,3,3,8,3,0,2,2,15,maryland,2024-01-03-01-minnesota
1,Bri McDaniel,28,2,5,0.4,1,3,0.333,1,2,0.5,4,4,1.0,1,6,7,6,1,1,2,1,9,maryland,2024-01-03-01-minnesota
2,Allie Kubek,26,6,11,0.545,3,6,0.5,3,5,0.6,0,0,,1,0,1,0,1,0,3,3,15,maryland,2024-01-03-01-minnesota
3,Jakia Brown-Turner,19,3,9,0.333,3,8,0.375,0,1,0.0,0,0,,0,3,3,1,1,0,0,0,6,maryland,2024-01-03-01-minnesota
4,Brinae Alexander,14,3,6,0.5,1,2,0.5,2,4,0.5,0,0,,0,0,0,0,1,0,1,0,8,maryland,2024-01-03-01-minnesota
6,Lavender Briggs,36,6,14,0.429,5,11,0.455,1,3,0.333,0,0,,2,3,5,2,1,0,3,3,13,maryland,2024-01-03-01-minnesota
7,Faith Masonius,29,3,6,0.5,3,6,0.5,0,0,,0,0,,1,2,3,4,0,0,0,2,6,maryland,2024-01-03-01-minnesota
8,Riley Nelson,8,0,2,0.0,0,2,0.0,0,0,,0,0,,0,0,0,1,1,0,0,0,0,maryland,2024-01-03-01-minnesota
9,Emily Fisher,4,0,1,0.0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,maryland,2024-01-03-01-minnesota
0,Mara Braun,40,6,16,0.375,1,4,0.25,5,12,0.417,3,4,0.75,0,6,6,3,1,2,4,0,20,minnesota,2024-01-03-01-minnesota
1,Amaya Battle,39,3,16,0.188,3,13,0.231,0,3,0.0,2,2,1.0,1,4,5,5,1,0,8,5,8,minnesota,2024-01-03-01-minnesota
2,Mallory Heyer,36,3,9,0.333,2,4,0.5,1,5,0.2,0,0,,4,6,10,2,1,0,0,1,7,minnesota,2024-01-03-01-minnesota
3,Grace Grocholski,36,5,12,0.417,4,5,0.8,1,7,0.143,1,1,1.0,1,4,5,3,3,0,1,1,12,minnesota,2024-01-03-01-minnesota
4,Sophie Hart,28,6,11,0.545,6,10,0.6,0,1,0.0,1,2,0.5,5,4,9,3,1,1,1,3,13,minnesota,2024-01-03-01-minnesota
6,Niamya Holloway,7,0,0,,0,0,,0,0,,0,0,,2,1,3,0,1,0,2,1,0,minnesota,2024-01-03-01-minnesota
7,Maggie Czinano,6,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,minnesota,2024-01-03-01-minnesota
8,Ayianna Johnson,5,1,1,1.0,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,minnesota,2024-01-03-01-minnesota
9,Janay Sanders,4,0,0,,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,1,1,2,minnesota,2024-01-03-01-minnesota
0,Jeanae Terry,31,3,6,0.5,3,6,0.5,0,0,,1,1,1.0,2,3,5,6,2,0,6,1,7,purdue,2024-01-14-12-maryla
1,Caitlyn Harper,31,7,10,0.7,7,9,0.778,0,1,0.0,0,0,,1,2,3,1,1,1,2,0,14,purdue,2024-01-14-12-maryla
2,Mary Ashley Stevenson,31,3,9,0.333,3,9,0.333,0,0,,2,2,1.0,1,2,3,1,0,0,4,2,8,purdue,2024-01-14-12-maryla
3,Madison Layden,29,5,12,0.417,2,7,0.286,3,5,0.6,0,0,,0,3,3,2,2,1,1,3,13,purdue,2024-01-14-12-maryla
4,Abbey Ellis,28,4,10,0.4,3,7,0.429,1,3,0.333,1,2,0.5,0,2,2,4,1,0,2,1,10,purdue,2024-01-14-12-maryla
6,Sophie Swanson,12,3,6,0.5,1,2,0.5,2,4,0.5,0,0,,0,0,0,1,1,0,1,2,8,purdue,2024-01-14-12-maryla
7,McKenna Layden,10,1,3,0.333,0,0,,1,3,0.333,0,0,,0,0,0,2,1,0,0,0,3,purdue,2024-01-14-12-maryla
8,Rashunda Jones,9,0,7,0.0,0,4,0.0,0,3,0.0,0,0,,2,2,4,0,0,0,0,3,0,purdue,2024-01-14-12-maryla
9,Jayla Smith,8,0,0,,0,0,,0,0,,1,2,0.5,1,0,1,1,0,0,1,0,1,purdue,2024-01-14-12-maryla
10,Alaina Harper,5,0,0,,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,purdue,2024-01-14-12-maryla
11,Emilly Monson,3,1,1,1.0,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,purdue,2024-01-14-12-maryla
12,Mila Reynolds,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,purdue,2024-01-14-12-maryla
0,Bri McDaniel,35,8,16,0.5,4,9,0.444,4,7,0.571,5,6,0.833,1,4,5,7,4,0,4,2,25,maryland,2024-01-14-12-maryla
1,Jakia Brown-Turner,29,8,9,0.889,7,7,1.0,1,2,0.5,1,1,1.0,2,7,9,2,1,0,1,2,18,maryland,2024-01-14-12-maryla
2,Shyanne Sellers,28,5,10,0.5,5,8,0.625,0,2,0.0,2,2,1.0,1,1,2,5,0,0,3,2,12,maryland,2024-01-14-12-maryla
3,Brinae Alexander,21,3,6,0.5,1,2,0.5,2,4,0.5,0,0,,1,3,4,1,0,0,1,1,8,maryland,2024-01-14-12-maryla
4,Allie Kubek,14,0,1,0.0,0,1,0.0,0,0,,0,0,,1,2,3,0,1,0,3,2,0,maryland,2024-01-14-12-maryla
6,Lavender Briggs,24,3,7,0.429,2,4,0.5,1,3,0.333,4,5,0.8,2,4,6,2,1,0,3,4,11,maryland,2024-01-14-12-maryla
7,Faith Masonius,23,2,5,0.4,2,5,0.4,0,0,,0,0,,1,0,1,2,2,0,2,1,4,maryland,2024-01-14-12-maryla
8,Emily Fisher,15,1,2,0.5,1,1,1.0,0,1,0.0,2,2,1.0,0,2,2,0,0,1,0,0,4,maryland,2024-01-14-12-maryla
9,Riley Nelson,4,1,1,1.0,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,maryland,2024-01-14-12-maryla
10,Summer Bostock,4,1,1,1.0,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,maryland,2024-01-14-12-maryla
11,Hawa Doumbouya,4,0,0,,0,0,,0,0,,2,2,1.0,0,1,1,1,0,0,0,0,2,maryland,2024-01-14-12-maryla
0,Kendall Bostic,38,5,9,0.556,4,6,0.667,1,3,0.333,2,2,1.0,2,6,8,3,0,1,2,2,13,illinois,2024-01-20-13-maryland
1,Genesis Bryant,36,4,14,0.286,1,5,0.2,3,9,0.333,8,8,1.0,0,4,4,5,0,0,3,4,19,illinois,2024-01-20-13-maryland
2,Camille Hobby,35,8,11,0.727,8,11,0.727,0,0,,2,2,1.0,2,5,7,1,4,0,1,0,18,illinois,2024-01-20-13-maryland
3,Makira Cook,33,4,12,0.333,3,9,0.333,1,3,0.333,4,4,1.0,1,0,1,3,1,0,2,4,13,illinois,2024-01-20-13-maryland
4,Adalia McKenzie,22,6,11,0.545,6,11,0.545,0,0,,0,0,,2,1,3,2,1,0,2,3,12,illinois,2024-01-20-13-maryland
6,Gretchen Dolan,28,3,4,0.75,2,2,1.0,1,2,0.5,0,0,,0,1,1,2,0,0,3,2,7,illinois,2024-01-20-13-maryland
7,Brynn Shoup-Hill,7,0,0,,0,0,,0,0,,0,0,,1,1,2,0,1,1,1,0,0,illinois,2024-01-20-13-maryland
8,Kam'Ren Rhodes,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,illinois,2024-01-20-13-maryland
0,Shyanne Sellers,38,6,14,0.429,6,13,0.462,0,1,0.0,2,2,1.0,2,3,5,9,0,0,3,2,14,maryland,2024-01-20-13-maryland
1,Jakia Brown-Turner,35,9,16,0.563,7,14,0.5,2,2,1.0,0,0,,3,7,10,2,2,0,1,1,20,maryland,2024-01-20-13-maryland
2,Bri McDaniel,32,8,12,0.667,5,9,0.556,3,3,1.0,3,4,0.75,1,1,2,4,0,0,3,3,22,maryland,2024-01-20-13-maryland
3,Allie Kubek,24,6,9,0.667,6,8,0.75,0,1,0.0,5,5,1.0,2,2,4,0,1,1,1,4,17,maryland,2024-01-20-13-maryland
4,Brinae Alexander,16,1,5,0.2,0,1,0.0,1,4,0.25,2,2,1.0,0,2,2,0,0,0,0,2,5,maryland,2024-01-20-13-maryland
6,Lavender Briggs,30,3,7,0.429,1,5,0.2,2,2,1.0,0,0,,1,2,3,2,0,0,3,2,8,maryland,2024-01-20-13-maryland
7,Faith Masonius,22,1,2,0.5,1,2,0.5,0,0,,0,0,,0,4,4,6,0,0,2,1,2,maryland,2024-01-20-13-maryland
8,Emily Fisher,4,1,1,1.0,1,1,1.0,0,0,,0,0,,0,0,0,0,1,0,0,0,2,maryland,2024-01-20-13-maryland
0,Jakia Brown-Turner,44,9,15,0.6,7,12,0.583,2,3,0.667,1,3,0.333,1,5,6,7,1,0,0,1,21,maryland,2024-01-24-00-michigan
1,Shyanne Sellers,36,5,11,0.455,5,9,0.556,0,2,0.0,1,2,0.5,1,3,4,3,1,0,9,5,11,maryland,2024-01-24-00-michigan
2,Allie Kubek,35,2,4,0.5,1,2,0.5,1,2,0.5,9,10,0.9,1,1,2,2,3,2,2,2,14,maryland,2024-01-24-00-michigan
3,Brinae Alexander,23,2,4,0.5,0,0,,2,4,0.5,0,0,,0,1,1,1,3,1,1,5,6,maryland,2024-01-24-00-michigan
4,Bri McDaniel,9,2,3,0.667,1,1,1.0,1,2,0.5,0,0,,1,0,1,1,1,0,4,3,5,maryland,2024-01-24-00-michigan
6,Lavender Briggs,39,6,13,0.462,5,10,0.5,1,3,0.333,1,2,0.5,0,6,6,2,0,1,1,3,14,maryland,2024-01-24-00-michigan
7,Faith Masonius,23,1,3,0.333,1,3,0.333,0,0,,0,0,,1,3,4,0,1,0,2,3,2,maryland,2024-01-24-00-michigan
8,Emily Fisher,16,2,3,0.667,2,3,0.667,0,0,,0,0,,0,1,1,0,0,0,1,3,4,maryland,2024-01-24-00-michigan
0,Chyra Evans,41,6,15,0.4,4,12,0.333,2,3,0.667,3,4,0.75,5,3,8,5,1,0,4,0,17,michigan,2024-01-24-00-michigan
1,Laila Phelia,41,4,15,0.267,4,11,0.364,0,4,0.0,6,8,0.75,1,1,2,1,2,0,2,1,14,michigan,2024-01-24-00-michigan
2,Jordan Hobbs,32,5,12,0.417,1,4,0.25,4,8,0.5,1,2,0.5,0,6,6,4,1,0,3,4,15,michigan,2024-01-24-00-michigan
3,Cameron Williams,25,5,10,0.5,5,10,0.5,0,0,,1,1,1.0,5,2,7,0,0,0,2,4,11,michigan,2024-01-24-00-michigan
4,Lauren Hansen,25,4,5,0.8,2,3,0.667,2,2,1.0,0,0,,0,1,1,3,0,0,2,2,10,michigan,2024-01-24-00-michigan
6,Elissa Brett,36,3,7,0.429,1,2,0.5,2,5,0.4,1,2,0.5,2,2,4,1,1,0,3,4,9,michigan,2024-01-24-00-michigan
7,Taylor Woodson,13,0,0,,0,0,,0,0,,1,2,0.5,1,1,2,2,0,0,0,2,1,michigan,2024-01-24-00-michigan
8,Elise Stuck,7,1,1,1.0,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,1,3,2,michigan,2024-01-24-00-michigan
9,Greta Kampschroeder,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,michigan,2024-01-24-00-michigan
10,Taylor Williams,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,michigan,2024-01-24-00-michigan
11,Alyssa Crockett,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,michigan,2024-01-24-00-michigan
0,Jakia Brown-Turner,30,9,17,0.529,7,14,0.5,2,3,0.667,1,1,1.0,3,3,6,3,2,0,2,3,21,maryland,2024-01-28-13-penn-state
1,Bri McDaniel,29,3,11,0.273,1,6,0.167,2,5,0.4,4,6,0.667,0,1,1,4,1,0,3,3,12,maryland,2024-01-28-13-penn-state
2,Brinae Alexander,26,3,10,0.3,1,3,0.333,2,7,0.286,2,2,1.0,0,1,1,3,2,0,3,1,10,maryland,2024-01-28-13-penn-state
3,Allie Kubek,16,1,4,0.25,1,4,0.25,0,0,,2,2,1.0,2,1,3,0,1,1,1,0,4,maryland,2024-01-28-13-penn-state
4,Shyanne Sellers,9,2,2,1.0,2,2,1.0,0,0,,0,2,0.0,0,0,0,2,0,0,1,1,4,maryland,2024-01-28-13-penn-state
6,Lavender Briggs,34,4,8,0.5,4,8,0.5,0,0,,1,2,0.5,1,4,5,1,0,0,1,3,9,maryland,2024-01-28-13-penn-state
7,Faith Masonius,28,3,5,0.6,3,5,0.6,0,0,,0,0,,1,3,4,3,1,1,2,3,6,maryland,2024-01-28-13-penn-state
8,Emily Fisher,21,3,6,0.5,3,6,0.5,0,0,,2,2,1.0,0,2,2,0,0,0,1,2,8,maryland,2024-01-28-13-penn-state
9,Summer Bostock,3,0,0,,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,0,0,2,maryland,2024-01-28-13-penn-state
10,Mary Sareen,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,maryland,2024-01-28-13-penn-state
11,Hawa Doumbouya,1,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,2,0,maryland,2024-01-28-13-penn-state
12,Zen Nuako,1,0,1,0.0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,maryland,2024-01-28-13-penn-state
0,Ashley Owusu,31,5,12,0.417,3,7,0.429,2,5,0.4,4,4,1.0,0,6,6,7,0,0,3,1,16,penn-state,2024-01-28-13-penn-state
1,Makenna Marisa,29,10,13,0.769,6,7,0.857,4,6,0.667,0,0,,2,3,5,2,0,0,2,3,24,penn-state,2024-01-28-13-penn-state
2,Leilani Kapinus,27,5,7,0.714,3,5,0.6,2,2,1.0,3,4,0.75,0,7,7,1,4,2,1,2,15,penn-state,2024-01-28-13-penn-state
3,Taylor Valladay,21,5,9,0.556,4,7,0.571,1,2,0.5,3,3,1.0,1,0,1,1,0,0,1,4,14,penn-state,2024-01-28-13-penn-state
4,Ali Brigham,18,3,5,0.6,3,5,0.6,0,0,,0,0,,1,0,1,2,1,0,0,0,6,penn-state,2024-01-28-13-penn-state
6,Shay Ciezki,17,2,5,0.4,0,0,,2,5,0.4,2,2,1.0,1,0,1,4,0,0,0,1,8,penn-state,2024-01-28-13-penn-state
7,Alli Campbell,16,0,1,0.0,0,1,0.0,0,0,,0,0,,0,2,2,2,1,0,1,2,0,penn-state,2024-01-28-13-penn-state
8,Chanaya Pinto,12,2,3,0.667,1,2,0.5,1,1,1.0,4,4,1.0,0,2,2,1,1,0,0,2,9,penn-state,2024-01-28-13-penn-state
9,Jayla Oden,10,2,2,1.0,0,0,,2,2,1.0,0,0,,1,1,2,4,2,0,1,0,6,penn-state,2024-01-28-13-penn-state
10,Grace Hall,8,3,4,0.75,3,4,0.75,0,0,,0,1,0.0,1,1,2,0,0,2,2,3,6,penn-state,2024-01-28-13-penn-state
11,Moriah Murray,8,1,2,0.5,0,0,,1,2,0.5,0,0,,0,1,1,0,0,0,2,3,3,penn-state,2024-01-28-13-penn-state
12,Kylie Lavelle,3,2,2,1.0,1,1,1.0,1,1,1.0,0,0,,0,0,0,1,1,0,0,1,5,penn-state,2024-01-28-13-penn-state
0,Shyanne Sellers,36,4,15,0.267,4,15,0.267,0,0,,8,10,0.8,1,2,3,4,0,0,3,3,16,maryland,2024-02-06-20-rutgers
1,Jakia Brown-Turner,33,4,13,0.308,3,9,0.333,1,4,0.25,2,2,1.0,4,6,10,2,1,0,2,1,11,maryland,2024-02-06-20-rutgers
2,Faith Masonius,29,3,6,0.5,3,6,0.5,0,0,,0,0,,5,2,7,3,4,0,3,5,6,maryland,2024-02-06-20-rutgers
3,Bri McDaniel,23,3,8,0.375,2,6,0.333,1,2,0.5,7,12,0.583,1,0,1,1,3,0,5,3,14,maryland,2024-02-06-20-rutgers
4,Brinae Alexander,23,2,7,0.286,0,1,0.0,2,6,0.333,0,0,,0,3,3,1,1,0,0,1,6,maryland,2024-02-06-20-rutgers
6,Lavender Briggs,27,2,10,0.2,2,9,0.222,0,1,0.0,0,0,,5,4,9,1,2,1,1,3,4,maryland,2024-02-06-20-rutgers
7,Emily Fisher,18,2,2,1.0,2,2,1.0,0,0,,1,2,0.5,1,2,3,1,1,0,1,2,5,maryland,2024-02-06-20-rutgers
8,Allie Kubek,12,2,7,0.286,2,7,0.286,0,0,,1,2,0.5,6,3,9,0,0,0,1,1,5,maryland,2024-02-06-20-rutgers
0,Destiny Adams,36,7,13,0.538,7,13,0.538,0,0,,8,13,0.615,5,3,8,1,4,2,4,4,22,rutgers,2024-02-06-20-rutgers
1,Lisa Thompson,26,5,7,0.714,4,5,0.8,1,2,0.5,0,0,,1,2,3,2,1,0,3,2,11,rutgers,2024-02-06-20-rutgers
2,Antonia Bates,25,0,5,0.0,0,3,0.0,0,2,0.0,0,2,0.0,1,4,5,5,0,2,3,3,0,rutgers,2024-02-06-20-rutgers
3,Jillian Huerter,25,3,7,0.429,0,0,,3,7,0.429,0,0,,0,3,3,1,0,0,2,1,9,rutgers,2024-02-06-20-rutgers
4,Chyna Cornwell,18,2,4,0.5,2,4,0.5,0,0,,0,1,0.0,1,4,5,0,1,0,1,2,4,rutgers,2024-02-06-20-rutgers
6,Mya Petticord,37,2,8,0.25,2,6,0.333,0,2,0.0,0,0,,0,1,1,5,2,0,2,4,4,rutgers,2024-02-06-20-rutgers
7,Erica Lafayette,16,1,4,0.25,0,2,0.0,1,2,0.5,0,0,,2,4,6,0,0,0,2,2,3,rutgers,2024-02-06-20-rutgers
8,Kassondra Brown,16,2,5,0.4,2,5,0.4,0,0,,2,2,1.0,1,3,4,0,1,1,5,5,6,rutgers,2024-02-06-20-rutgers
0,Jakia Brown-Turner,38,5,13,0.385,5,11,0.455,0,2,0.0,1,2,0.5,2,8,10,1,4,0,3,2,11,maryland,2024-02-11-15-illinois
1,Shyanne Sellers,36,6,12,0.5,5,11,0.455,1,1,1.0,5,6,0.833,2,9,11,2,0,1,6,2,18,maryland,2024-02-11-15-illinois
2,Bri McDaniel,24,4,10,0.4,4,9,0.444,0,1,0.0,0,1,0.0,1,6,7,2,1,0,3,3,8,maryland,2024-02-11-15-illinois
3,Faith Masonius,20,1,1,1.0,1,1,1.0,0,0,,2,2,1.0,2,1,3,3,0,0,2,2,4,maryland,2024-02-11-15-illinois
4,Brinae Alexander,20,0,4,0.0,0,2,0.0,0,2,0.0,0,0,,0,2,2,0,0,0,2,0,0,maryland,2024-02-11-15-illinois
