,Starters,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team,game_id
4,Rebeka Mikulasikova,17,4,7,0.571,2,4,0.5,2,3,0.667,3,3,1.0,1,6,7,3,2,0,0,0,13,ohio-state,2023-12-05-19-ohio-state
6,Emma Shumate,22,7,12,0.583,1,2,0.5,6,10,0.6,2,2,1.0,2,1,3,2,0,0,0,1,22,ohio-state,2023-12-05-19-ohio-state
7,Taiyier Parks,19,1,2,0.5,1,2,0.5,0,0,,1,2,0.5,1,6,7,0,0,1,1,0,3,ohio-state,2023-12-05-19-ohio-state
8,Rikki Harris,18,0,3,0.0,0,0,,0,3,0.0,0,0,,0,3,3,2,0,0,0,2,0,ohio-state,2023-12-05-19-ohio-state
9,Eboni Walker,16,0,1,0.0,0,1,0.0,0,0,,1,2,0.5,1,2,3,1,0,0,0,2,1,ohio-state,2023-12-05-19-ohio-state
10,Kaia Henderson,10,3,3,1.0,3,3,1.0,0,0,,0,0,,0,3,3,2,0,0,1,0,6,ohio-state,2023-12-05-19-ohio-state
11,Diana Collins,8,1,4,0.25,0,2,0.0,1,2,0.5,1,2,0.5,0,0,0,0,1,0,2,3,4,ohio-state,2023-12-05-19-ohio-state
12,Karla Vres,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,ohio-state,2023-12-05-19-ohio-state
0,Shay Ciezki,43,7,17,0.412,4,10,0.4,3,7,0.429,2,2,1.0,3,3,6,4,1,0,3,3,19,penn-state,2023-12-10-13-ohio-state
1,Makenna Marisa,41,11,21,0.524,8,15,0.533,3,6,0.5,3,5,0.6,0,8,8,3,1,0,2,1,28,penn-state,2023-12-10-13-ohio-state
2,Ali Brigham,31,4,4,1.0,4,4,1.0,0,0,,0,0,,2,8,10,0,0,1,3,5,8,penn-state,2023-12-10-13-ohio-state
3,Leilani Kapinus,21,3,7,0.429,3,6,0.5,0,1,0.0,2,3,0.667,2,2,4,1,2,0,4,5,8,penn-state,2023-12-10-13-ohio-state
4,Chanaya Pinto,10,0,1,0.0,0,1,0.0,0,0,,0,0,,0,1,1,0,2,0,1,5,0,penn-state,2023-12-10-13-ohio-state
6,Moriah Murray,27,2,3,0.667,0,0,,2,3,0.667,0,0,,0,2,2,4,2,0,0,3,6,penn-state,2023-12-10-13-ohio-state
7,Taylor Valladay,19,3,5,0.6,3,5,0.6,0,0,,2,4,0.5,0,0,0,1,0,0,2,5,8,penn-state,2023-12-10-13-ohio-state
8,Jayla Oden,18,1,6,0.167,0,5,0.0,1,1,1.0,2,2,1.0,0,3,3,1,0,0,3,2,5,penn-state,2023-12-10-13-ohio-state
9,Kylie Lavelle,15,1,2,0.5,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,3,2,penn-state,2023-12-10-13-ohio-state
10,Grace Hall,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,penn-state,2023-12-10-13-ohio-state
0,Jacy Sheldon,45,8,13,0.615,6,9,0.667,2,4,0.5,13,14,0.929,0,5,5,3,1,1,2,4,31,ohio-state,2023-12-10-13-ohio-state
1,Celeste Taylor,39,5,12,0.417,3,5,0.6,2,7,0.286,1,4,0.25,2,9,11,4,1,0,0,4,13,ohio-state,2023-12-10-13-ohio-state
2,Cotie McMahon,39,11,18,0.611,11,17,0.647,0,1,0.0,5,14,0.357,0,8,8,0,3,0,3,2,27,ohio-state,2023-12-10-13-ohio-state
3,Taylor Thierry,37,2,6,0.333,2,6,0.333,0,0,,3,4,0.75,3,1,4,2,1,0,4,3,7,ohio-state,2023-12-10-13-ohio-state
4,Rebeka Mikulasikova,33,3,9,0.333,1,4,0.25,2,5,0.4,0,0,,2,2,4,2,1,0,3,1,8,ohio-state,2023-12-10-13-ohio-state
6,Rikki Harris,15,0,1,0.0,0,0,,0,1,0.0,3,4,0.75,1,2,3,3,0,0,0,1,3,ohio-state,2023-12-10-13-ohio-state
7,Taiyier Parks,7,2,2,1.0,2,2,1.0,0,0,,1,2,0.5,1,0,1,1,0,0,0,0,5,ohio-state,2023-12-10-13-ohio-state
8,Emma Shumate,5,0,2,0.0,0,0,,0,2,0.0,0,0,,0,0,0,0,0,0,0,1,0,ohio-state,2023-12-10-13-ohio-state
9,Madison Greene,4,0,1,0.0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,ohio-state,2023-12-10-13-ohio-state
0,Ellie Droste,31,6,11,0.545,4,6,0.667,2,5,0.4,3,5,0.6,0,1,1,0,1,0,8,2,17,grand-valley-state,2023-12-15-18-ohio-state
1,Rylie Bisballe,31,2,4,0.5,2,3,0.667,0,1,0.0,0,0,,1,3,4,2,0,1,3,1,4,grand-valley-state,2023-12-15-18-ohio-state
2,Abrie Cabana,21,2,7,0.286,1,3,0.333,1,4,0.25,0,0,,0,1,1,0,1,0,5,0,5,grand-valley-state,2023-12-15-18-ohio-state
3,Megan Crow,21,1,3,0.333,1,2,0.5,0,1,0.0,4,4,1.0,1,5,6,1,0,0,3,4,6,grand-valley-state,2023-12-15-18-ohio-state
4,Hadley Miller,21,2,4,0.5,2,4,0.5,0,0,,0,0,,1,4,5,1,1,0,1,2,4,grand-valley-state,2023-12-15-18-ohio-state
6,Ava Scanlon,16,1,4,0.25,1,2,0.5,0,2,0.0,4,8,0.5,2,5,7,1,2,1,0,2,6,grand-valley-state,2023-12-15-18-ohio-state
7,Nicole Kamin,13,0,2,0.0,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,5,1,0,grand-valley-state,2023-12-15-18-ohio-state
8,Avery Zeinstra,13,2,3,0.667,1,2,0.5,1,1,1.0,0,0,,0,1,1,2,0,0,1,2,5,grand-valley-state,2023-12-15-18-ohio-state
9,Lexi Plitzuweit,12,0,2,0.0,0,2,0.0,0,0,,2,2,1.0,0,2,2,1,1,0,2,2,2,grand-valley-state,2023-12-15-18-ohio-state
10,Molly Anderson,10,0,1,0.0,0,0,,0,1,0.0,0,0,,0,1,1,1,1,0,1,0,0,grand-valley-state,2023-12-15-18-ohio-state
11,Macy Bisballe,10,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,grand-valley-state,2023-12-15-18-ohio-state
0,Taylor Thierry,21,5,5,1.0,5,5,1.0,0,0,,1,2,0.5,0,2,2,1,2,0,0,0,11,ohio-state,2023-12-15-18-ohio-state
1,Jacy Sheldon,21,7,8,0.875,7,7,1.0,0,1,0.0,1,2,0.5,0,0,0,2,3,0,0,1,15,ohio-state,2023-12-15-18-ohio-state
2,Rebeka Mikulasikova,17,2,5,0.4,1,3,0.333,1,2,0.5,2,2,1.0,0,1,1,2,1,0,1,0,7,ohio-state,2023-12-15-18-ohio-state
3,Celeste Taylor,16,2,6,0.333,2,5,0.4,0,1,0.0,5,5,1.0,0,1,1,1,3,1,0,2,9,ohio-state,2023-12-15-18-ohio-state
4,Cotie McMahon,16,2,7,0.286,2,5,0.4,0,2,0.0,2,3,0.667,1,6,7,0,2,1,3,2,6,ohio-state,2023-12-15-18-ohio-state
6,Madison Greene,21,2,4,0.5,2,4,0.5,0,0,,2,2,1.0,0,1,1,1,1,0,0,1,6,ohio-state,2023-12-15-18-ohio-state
7,Diana Collins,18,0,6,0.0,0,5,0.0,0,1,0.0,0,0,,2,1,3,0,1,0,0,0,0,ohio-state,2023-12-15-18-ohio-state
8,Emma Shumate,16,1,4,0.25,1,2,0.5,0,2,0.0,0,0,,0,1,1,0,2,0,1,1,2,ohio-state,2023-12-15-18-ohio-state
9,Rikki Harris,16,3,4,0.75,3,3,1.0,0,1,0.0,1,1,1.0,0,0,0,1,4,0,3,1,7,ohio-state,2023-12-15-18-ohio-state
10,Taiyier Parks,16,1,5,0.2,1,5,0.2,0,0,,6,8,0.75,2,1,3,0,2,0,1,5,8,ohio-state,2023-12-15-18-ohio-state
11,Eboni Walker,16,0,7,0.0,0,7,0.0,0,0,,0,0,,3,1,4,1,1,0,2,1,0,ohio-state,2023-12-15-18-ohio-state
12,Karla Vres,3,1,1,1.0,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,1,1,2,ohio-state,2023-12-15-18-ohio-state
