team_id,game,date_str,time,type,site,opp,conf,srs,team_result,team_pts,opp_pts,ot,win_num,loss_num,streak,arena
4,18,Wed Jan 17 2024,6:30p,REG,,Northwestern,Big Ten,-0.22,W,91,72,,13,4,W 1,Breslin Student Events Center
4,19,Sat Jan 20 2024,3:00p,REG,@,Minnesota,Big Ten,16.38,L,50,69,,13,5,L 1,Williams Arena
4,20,Wed Jan 24 2024,6:30p,REG,,Purdue,Big Ten,14.46,W,97,70,,14,5,W 1,Breslin Student Events Center
4,21,Sat Jan 27 2024,12:00p,REG,,Michigan,Big Ten,18.99,W,82,61,,15,5,W 2,Breslin Student Events Center
4,22,Tue Jan 30 2024,7:00p,REG,@,Rutgers,Big Ten,3.79,W,82,64,,16,5,W 3,Jersey Mike's Arena
4,23,Mon Feb 5 2024,6:00p,REG,,Minnesota,Big Ten,16.38,W,76,65,,17,5,W 4,Breslin Student Events Center
4,24,Thu Feb 8 2024,7:00p,REG,@,Indiana (14),Big Ten,30.25,L,91,94,,17,6,L 1,Simon Skjodt Assembly Hall
4,25,Sun Feb 11 2024,4:00p,REG,,Ohio State (5),Big Ten,34.28,L,71,86,,17,7,L 2,Breslin Student Events Center
4,26,Sun Feb 18 2024,12:00p,REG,@,Michigan,Big Ten,18.99,W,70,66,,18,7,W 1,Crisler Center
4,27,Wed Feb 21 2024,7:00p,REG,@,Purdue,Big Ten,14.46,W,68,59,,19,7,W 2,Mackey Arena
4,28,Sat Feb 24 2024,2:00p,REG,,Rutgers,Big Ten,3.79,W,93,57,,20,7,W 3,Breslin Student Events Center
4,29,Thu Feb 29 2024,8:00p,REG,,Illinois,Big Ten,19.38,W,87,70,,21,7,W 4,Breslin Student Events Center
4,30,Sun Mar 3 2024,2:00p,REG,@,Wisconsin,Big Ten,7.62,W,78,52,,22,7,W 5,
4,31,Fri Mar 8 2024,3:00p,REG,N,,,,,,,,,,,Target Center
5,1,Mon Nov 6 2023,1:00p,REG,,Northwestern State,Southland,-12.04,W,90,42,,1,0,W 1,Pinnacle Bank Arena
5,2,Fri Nov 10 2023,8:30p,REG,@,Wyoming,MWC,5.25,W,71,52,,2,0,W 2,Arena-Auditorium
5,3,Tue Nov 14 2023,8:00p,REG,,Alcorn State,SWAC,-17.11,W,79,32,,3,0,W 3,Pinnacle Bank Arena
5,4,Sun Nov 19 2023,2:00p,REG,,Creighton (22),Big East,23.83,L,74,79,,3,1,L 1,Pinnacle Bank Arena
5,5,Thu Nov 23 2023,3:30p,REG,N,Lamar,Southland,0.81,W,75,61,,4,1,W 1,
5,6,Sat Nov 25 2023,1:00p,REG,N,TCU,Big 12,19.28,L,81,88,,4,2,L 1,
5,7,Wed Nov 29 2023,8:00p,REG,,Florida Atlantic,AAC,-3.75,W,77,53,,5,2,W 1,Pinnacle Bank Arena
5,8,Sat Dec 2 2023,3:00p,REG,,Georgia Tech,ACC,13.84,W,80,72,,6,2,W 2,Pinnacle Bank Arena
5,9,Tue Dec 5 2023,8:00p,REG,,UNC Wilmington,CAA,-25.86,W,108,35,,7,2,W 3,Pinnacle Bank Arena
5,10,Sat Dec 9 2023,2:00p,REG,@,Michigan State,Big Ten,28.21,W,80,74,,8,2,W 4,Breslin Student Events Center
5,11,Sun Dec 17 2023,1:00p,REG,,Southern,SWAC,-6.01,W,76,51,,9,2,W 5,Pinnacle Bank Arena
5,12,Wed Dec 20 2023,7:30p,REG,@,Kansas,Big 12,20.46,L,52,69,,9,3,L 1,Allen Fieldhouse
5,13,Sun Dec 31 2023,2:30p,REG,,Maryland,Big Ten,22.6,W,87,81,,10,3,W 1,Pinnacle Bank Arena
5,14,Thu Jan 4 2024,9:00p,REG,@,Wisconsin,Big Ten,7.62,W,69,57,,11,3,W 2,
5,15,Sun Jan 7 2024,2:00p,REG,,Indiana (14),Big Ten,30.25,L,69,91,,11,4,L 1,Pinnacle Bank Arena
5,16,Thu Jan 11 2024,8:00p,REG,,Illinois,Big Ten,19.38,W,56,48,,12,4,W 1,Pinnacle Bank Arena
5,17,Sun Jan 14 2024,3:00p,REG,@,Minnesota,Big Ten,16.38,L,58,62,,12,5,L 1,Williams Arena
5,18,Wed Jan 17 2024,8:00p,REG,,Michigan,Big Ten,18.99,W,62,43,,13,5,W 1,Pinnacle Bank Arena
5,19,Sun Jan 21 2024,1:00p,REG,@,Penn State,Big Ten,25.4,L,73,82,,13,6,L 1,Bryce Jordan Center
5,20,Sat Jan 27 2024,2:00p,REG,@,Iowa (5),Big Ten,37.03,L,73,92,,13,7,L 2,Carver-Hawkeye Arena
5,21,Wed Jan 31 2024,8:00p,REG,,Purdue,Big Ten,14.46,W,68,54,,14,7,W 1,Pinnacle Bank Arena
5,22,Sat Feb 3 2024,3:00p,REG,,Rutgers,Big Ten,3.79,L,70,71,,14,8,L 1,Pinnacle Bank Arena
5,23,Tue Feb 6 2024,7:00p,REG,@,Michigan,Big Ten,18.99,W,65,59,,15,8,W 1,Crisler Center
5,24,Sun Feb 11 2024,1:00p,REG,,Iowa (2),Big Ten,37.03,W,82,79,,16,8,W 2,Pinnacle Bank Arena
5,25,Wed Feb 14 2024,7:00p,REG,@,Ohio State (2),Big Ten,34.28,L,47,80,,16,9,L 1,Value City Arena
5,26,Sat Feb 17 2024,4:00p,REG,@,Purdue,Big Ten,14.46,W,77,65,,17,9,W 1,Mackey Arena
5,27,Tue Feb 20 2024,9:00p,REG,,Northwestern,Big Ten,-0.22,W,75,50,,18,9,W 2,Pinnacle Bank Arena
